	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
270	271	2012	Chandigarh	2012-04-18	Kings XI Punjab	Kolkata Knight Riders	Kings XI Punjab	bat	normal	0	Kolkata Knight Riders	0	8	G Gambhir	Punjab Cricket Association Stadium, Mohali	JD Cloete	RJ Tucker		0	6.76616136041	-0.142139297814	-10	57.1428571429	-16.6666666667
273	274	2012	Chandigarh	2012-04-20	Kings XI Punjab	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	5	CH Gayle	Punjab Cricket Association Stadium, Mohali	S Ravi	RJ Tucker		0	0.20572256041	-0.235880480194	-2	50.0	33.3333333333
274	275	2012	Chennai	2012-04-21	Rajasthan Royals	Chennai Super Kings	Rajasthan Royals	bat	normal	0	Chennai Super Kings	0	7	F du Plessis	MA Chidambaram Stadium, Chepauk	Aleem Dar	BNJ Oxenford		0	-5.87613250022	1.20019465368	-7	44.4444444444	0.0
276	277	2012	Mumbai	2012-04-22	Mumbai Indians	Kings XI Punjab	Mumbai Indians	bat	normal	0	Kings XI Punjab	0	6	SE Marsh	Wankhede Stadium	S Ravi	RJ Tucker		0	-17.9747473754	0.931489605703	11	37.5	33.3333333333
278	279	2012	Jaipur	2012-04-23	Royal Challengers Bangalore	Rajasthan Royals	Rajasthan Royals	field	normal	0	Royal Challengers Bangalore	46	0	AB de Villiers	Sawai Mansingh Stadium	Asad Rauf	S Asnani		1	4.8497587546	-0.406574878481	5	50.0	0.0
280	281	2012	Chandigarh	2012-04-25	Kings XI Punjab	Mumbai Indians	Kings XI Punjab	bat	normal	0	Mumbai Indians	0	4	AT Rayudu	Punjab Cricket Association Stadium, Mohali	Aleem Dar	BNJ Oxenford		0	-16.4433813961	3.32242786132	-10	66.6666666667	0.0
282	283	2012	Delhi	2012-04-27	Delhi Daredevils	Mumbai Indians	Mumbai Indians	field	normal	0	Delhi Daredevils	37	0	V Sehwag	Feroz Shah Kotla	Aleem Dar	BNJ Oxenford		1	7.09662550026	0.74331936202	-5	44.4444444444	33.3333333333
283	284	2012	Chennai	2012-04-28	Kings XI Punjab	Chennai Super Kings	Kings XI Punjab	bat	normal	0	Kings XI Punjab	7	0	Mandeep Singh	MA Chidambaram Stadium, Chepauk	BF Bowden	SK Tarapore		1	10.3394450353	0.514843584046	-7	16.6666666667	-33.3333333333
284	285	2012	Kolkata	2012-04-28	Kolkata Knight Riders	Royal Challengers Bangalore	Kolkata Knight Riders	bat	normal	0	Kolkata Knight Riders	47	0	G Gambhir	Eden Gardens	Asad Rauf	BR Doctrove		1	0.0395023610686	0.375451081138	9	50.0	0.0
285	286	2012	Delhi	2012-04-29	Delhi Daredevils	Rajasthan Royals	Delhi Daredevils	bat	normal	0	Delhi Daredevils	1	0	V Sehwag	Feroz Shah Kotla	S Ravi	RJ Tucker		1	7.98101088343	-0.0652016786273	9	50.0	66.6666666667
287	288	2012	Chennai	2012-04-30	Chennai Super Kings	Kolkata Knight Riders	Chennai Super Kings	bat	normal	0	Kolkata Knight Riders	0	5	G Gambhir	MA Chidambaram Stadium, Chepauk	BF Bowden	C Shamshuddin		0	9.00531292804	-0.270457519071	-6	80.0	0.0
289	290	2012	Jaipur	2012-05-01	Rajasthan Royals	Delhi Daredevils	Rajasthan Royals	bat	normal	0	Delhi Daredevils	0	6	P Negi	Sawai Mansingh Stadium	JD Cloete	SJA Taufel		0	-3.85071325063	-0.180365487905	-4	44.4444444444	-100.0
290	291	2012	Bangalore	2012-05-02	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	4	Azhar Mahmood	M Chinnaswamy Stadium	BF Bowden	C Shamshuddin		0	-4.26079517922	-1.49560857156	3	55.5555555556	0.0
294	295	2012	Chandigarh	2012-05-05	Rajasthan Royals	Kings XI Punjab	Rajasthan Royals	bat	normal	0	Rajasthan Royals	43	0	SR Watson	Punjab Cricket Association Stadium, Mohali	JD Cloete	SJA Taufel		1	-8.27247721266	-1.10215486998	2	62.5	-66.6666666667
295	296	2012	Mumbai	2012-05-06	Chennai Super Kings	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	2	DR Smith	Wankhede Stadium	Asad Rauf	S Asnani		0	9.15691648143	-2.30772921059	2	44.4444444444	0.0
297	298	2012	Delhi	2012-05-07	Delhi Daredevils	Kolkata Knight Riders	Delhi Daredevils	bat	normal	0	Kolkata Knight Riders	0	6	JH Kallis	Feroz Shah Kotla	JD Cloete	S Ravi		0	7.71556523551	-0.137862272509	-6	57.1428571429	0.0
300	301	2012	Mumbai	2012-05-09	Mumbai Indians	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	9	CH Gayle	Wankhede Stadium	BF Bowden	VA Kulkarni		0	-2.60054452052	1.30484941783	11	55.5555555556	33.3333333333
301	302	2012	Jaipur	2012-05-10	Rajasthan Royals	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	4	BW Hilfenhaus	Sawai Mansingh Stadium	BNJ Oxenford	C Shamshuddin		0	-8.01845746304	-0.877527382652	-7	40.0	33.3333333333
303	304	2012	Kolkata	2012-05-12	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	bat	normal	0	Mumbai Indians	27	0	RG Sharma	Eden Gardens	S Ravi	SJA Taufel		1	0.748853961447	0.136908429604	-6	87.5	-66.6666666667
304	305	2012	Chennai	2012-05-12	Delhi Daredevils	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	9	BW Hilfenhaus	MA Chidambaram Stadium, Chepauk	S Das	BR Doctrove		0	-7.29682002187	-0.794001277216	-2	50.0	33.3333333333
307	308	2012	Bangalore	2012-05-14	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	5	AT Rayudu	M Chinnaswamy Stadium	S Das	BR Doctrove		0	1.33799140283	-0.864789761449	-7	50.0	-33.3333333333
308	309	2012	Kolkata	2012-05-14	Kolkata Knight Riders	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	5	MEK Hussey	Eden Gardens	JD Cloete	SJA Taufel		0	-11.4943362275	-1.60798731	4	33.3333333333	0.0
309	310	2012	Delhi	2012-05-15	Kings XI Punjab	Delhi Daredevils	Kings XI Punjab	bat	normal	0	Delhi Daredevils	0	5	UT Yadav	Feroz Shah Kotla	HDPK Dharmasena	BNJ Oxenford		0	-7.91327185292	1.38378255868	-7	66.6666666667	33.3333333333
310	311	2012	Mumbai	2012-05-16	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	field	normal	0	Kolkata Knight Riders	32	0	SP Narine	Wankhede Stadium	S Das	BR Doctrove		1	0.0946059438683	0.649236171978	4	11.1111111111	-33.3333333333
311	312	2012	Dharamsala	2012-05-17	Chennai Super Kings	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	6	AC Gilchrist	Himachal Pradesh Cricket Association Stadium	VA Kulkarni	SK Tarapore		0	9.16685396828	0.433027412882	17	71.4285714286	66.6666666667
312	313	2012	Delhi	2012-05-17	Royal Challengers Bangalore	Delhi Daredevils	Delhi Daredevils	field	normal	0	Royal Challengers Bangalore	21	0	CH Gayle	Feroz Shah Kotla	HDPK Dharmasena	C Shamshuddin		1	21.8674898304	-0.0148379514115	0	37.5	0.0
314	315	2012	Dharamsala	2012-05-19	Kings XI Punjab	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	6	UT Yadav	Himachal Pradesh Cricket Association Stadium	BF Bowden	VA Kulkarni		0	4.78291060212	1.77210735794	-2	57.1428571429	0.0
317	318	2012	Jaipur	2012-05-20	Rajasthan Royals	Mumbai Indians	Rajasthan Royals	bat	normal	0	Mumbai Indians	0	10	DR Smith	Sawai Mansingh Stadium	HDPK Dharmasena	C Shamshuddin		0	4.34089235742	-0.615609454493	-8	50.0	-33.3333333333
318	319	2012	Pune	2012-05-22	Kolkata Knight Riders	Delhi Daredevils	Kolkata Knight Riders	bat	normal	0	Kolkata Knight Riders	18	0	YK Pathan	Subrata Roy Sahara Stadium	BR Doctrove	SJA Taufel		1	-6.78705657548	1.32929817839	8	50.0	-33.3333333333
319	320	2012	Bangalore	2012-05-23	Chennai Super Kings	Mumbai Indians	Mumbai Indians	field	normal	0	Chennai Super Kings	38	0	MS Dhoni	M Chinnaswamy Stadium	BF Bowden	HDPK Dharmasena		1	6.34047039769	0.650058127521	-1	40.0	0.0
320	321	2012	Chennai	2012-05-25	Chennai Super Kings	Delhi Daredevils	Delhi Daredevils	field	normal	0	Chennai Super Kings	86	0	M Vijay	MA Chidambaram Stadium, Chepauk	BR Doctrove	SJA Taufel		1	-8.48233896061	2.3578674837	8	55.5555555556	33.3333333333
321	322	2012	Chennai	2012-05-27	Chennai Super Kings	Kolkata Knight Riders	Chennai Super Kings	bat	normal	0	Kolkata Knight Riders	0	5	MS Bisla	MA Chidambaram Stadium, Chepauk	BF Bowden	SJA Taufel		0	13.9859811023	-0.442269350655	-3	71.4285714286	0.0
322	323	2013	Kolkata	2013-04-03	Delhi Daredevils	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	6	SP Narine	Eden Gardens	S Ravi	SJA Taufel		0	-7.32828474446	-0.267080716834	-16	44.4444444444	0.0
323	324	2013	Bangalore	2013-04-04	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	field	normal	0	Royal Challengers Bangalore	2	0	CH Gayle	M Chinnaswamy Stadium	VA Kulkarni	C Shamshuddin		1	12.0366875438	0.614113130472	-7	45.4545454545	0.0
325	326	2013	Delhi	2013-04-06	Rajasthan Royals	Delhi Daredevils	Rajasthan Royals	bat	normal	0	Rajasthan Royals	5	0	R Dravid	Feroz Shah Kotla	S Das	C Shamshuddin		1	9.24287179535	-0.353404232582	-7	40.0	0.0
326	327	2013	Chennai	2013-04-06	Mumbai Indians	Chennai Super Kings	Mumbai Indians	bat	normal	0	Mumbai Indians	9	0	KA Pollard	MA Chidambaram Stadium, Chepauk	M Erasmus	VA Kulkarni		1	-13.7924499365	2.997329194	1	54.5454545455	0.0
329	330	2013	Jaipur	2013-04-08	Rajasthan Royals	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Rajasthan Royals	19	0	SK Trivedi	Sawai Mansingh Stadium	Aleem Dar	S Das		1	10.5578348249	0.423913583084	-14	44.4444444444	0.0
330	331	2013	Mumbai	2013-04-09	Mumbai Indians	Delhi Daredevils	Mumbai Indians	bat	normal	0	Mumbai Indians	44	0	KD Karthik	Wankhede Stadium	M Erasmus	VA Kulkarni		1	8.36808879346	0.442361536674	9	50.0	50.0
331	332	2013	Chandigarh	2013-04-10	Kings XI Punjab	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	10	MEK Hussey	Punjab Cricket Association Stadium, Mohali	Aleem Dar	C Shamshuddin		0	-6.53060743226	1.66064655024	-4	37.5	0.0
332	333	2013	Bangalore	2013-04-11	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	8	CH Gayle	M Chinnaswamy Stadium	Asad Rauf	AK Chowdhary		0	-8.08339822529	1.28258459749	12	55.5555555556	-50.0
336	337	2013	Chennai	2013-04-13	Royal Challengers Bangalore	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	4	RA Jadeja	MA Chidambaram Stadium, Chepauk	Asad Rauf	AK Chowdhary		0	-23.6063846676	-2.28360025209	-6	41.6666666667	50.0
338	339	2013	Jaipur	2013-04-14	Kings XI Punjab	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	6	JP Faulkner	Sawai Mansingh Stadium	Aleem Dar	C Shamshuddin		0	-0.22230959901	0.302421047647	-8	33.3333333333	-100.0
340	341	2013	Chandigarh	2013-04-16	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kings XI Punjab	4	0	MS Gony	Punjab Cricket Association Stadium, Mohali	CK Nandan	SJA Taufel		1	2.04609473163	-0.870834706067	-22	50.0	-33.3333333333
343	344	2013	Jaipur	2013-04-17	Rajasthan Royals	Mumbai Indians	Rajasthan Royals	bat	normal	0	Rajasthan Royals	87	0	AM Rahane	Sawai Mansingh Stadium	Aleem Dar	C Shamshuddin		1	7.52221439837	-0.897859250727	-11	44.4444444444	33.3333333333
344	345	2013	Delhi	2013-04-18	Chennai Super Kings	Delhi Daredevils	Chennai Super Kings	bat	normal	0	Chennai Super Kings	86	0	MEK Hussey	Feroz Shah Kotla	M Erasmus	VA Kulkarni		1	3.38216651667	-0.0506026269524	7	60.0	66.6666666667
346	347	2013	Kolkata	2013-04-20	Kolkata Knight Riders	Chennai Super Kings	Kolkata Knight Riders	bat	normal	0	Chennai Super Kings	0	4	RA Jadeja	Eden Gardens	Asad Rauf	AK Chaudhary		0	3.85311833138	-1.51325219336	3	37.5	-100.0
347	348	2013	Bangalore	2013-04-20	Rajasthan Royals	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	7	R Vinay Kumar	M Chinnaswamy Stadium	Aleem Dar	C Shamshuddin		0	2.16484574985	-0.127261049111	-2	44.4444444444	33.3333333333
348	349	2013	Delhi	2013-04-21	Mumbai Indians	Delhi Daredevils	Mumbai Indians	bat	normal	0	Delhi Daredevils	0	9	V Sehwag	Feroz Shah Kotla	HDPK Dharmasena	S Ravi		0	-4.05466361501	1.7420054475	12	54.5454545455	66.6666666667
350	351	2013	Chennai	2013-04-22	Rajasthan Royals	Chennai Super Kings	Rajasthan Royals	bat	normal	0	Chennai Super Kings	0	5	MEK Hussey	MA Chidambaram Stadium, Chepauk	S Asnani	AK Chaudhary		0	-5.91641642934	-0.248764259789	-9	36.3636363636	-33.3333333333
352	353	2013	Dharamsala	2013-05-16	Kings XI Punjab	Delhi Daredevils	Delhi Daredevils	field	normal	0	Kings XI Punjab	7	0	DA Miller	Himachal Pradesh Cricket Association Stadium	HDPK Dharmasena	S Ravi		1	-0.916854929359	-0.235358281033	-7	50.0	0.0
353	354	2013	Kolkata	2013-04-24	Kolkata Knight Riders	Mumbai Indians	Kolkata Knight Riders	bat	normal	0	Mumbai Indians	0	5	DR Smith	Eden Gardens	HDPK Dharmasena	S Ravi		0	-8.744828915	1.38796081949	3	20.0	-33.3333333333
355	356	2013	Kolkata	2013-04-26	Kings XI Punjab	Kolkata Knight Riders	Kings XI Punjab	bat	normal	0	Kolkata Knight Riders	0	6	JH Kallis	Eden Gardens	CK Nandan	S Ravi		0	0.878048149753	-1.04998107637	-17	55.5555555556	66.6666666667
357	358	2013	Mumbai	2013-04-27	Mumbai Indians	Royal Challengers Bangalore	Mumbai Indians	bat	normal	0	Mumbai Indians	58	0	DR Smith	Wankhede Stadium	Asad Rauf	S Asnani		1	6.10390528238	-1.00342339531	5	50.0	-33.3333333333
358	359	2013	Chennai	2013-04-28	Chennai Super Kings	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Chennai Super Kings	14	0	MEK Hussey	MA Chidambaram Stadium, Chepauk	Aleem Dar	SJA Taufel		1	11.368979655	1.12909323571	-7	66.6666666667	66.6666666667
360	361	2013	Jaipur	2013-04-29	Royal Challengers Bangalore	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	4	SV Samson	Sawai Mansingh Stadium	M Erasmus	K Srinath		0	-23.9515824643	-0.34626752969	2	60.0	0.0
361	362	2013	Mumbai	2013-04-29	Mumbai Indians	Kings XI Punjab	Mumbai Indians	bat	normal	0	Mumbai Indians	4	0	RG Sharma	Wankhede Stadium	Asad Rauf	AK Chaudhary		1	3.97281589824	0.585559428691	13	40.0	0.0
364	365	2013	Raipur	2013-05-01	Kolkata Knight Riders	Delhi Daredevils	Kolkata Knight Riders	bat	normal	0	Delhi Daredevils	0	7	DA Warner	Shaheed Veer Narayan Singh International Stadium	HDPK Dharmasena	CK Nandan		0	-8.73390939663	-0.176395983693	2	60.0	0.0
365	366	2013	Chennai	2013-05-02	Chennai Super Kings	Kings XI Punjab	Chennai Super Kings	bat	normal	0	Chennai Super Kings	15	0	SK Raina	MA Chidambaram Stadium, Chepauk	M Erasmus	VA Kulkarni		1	9.03673649671	1.50515817651	12	66.6666666667	66.6666666667
367	368	2013	Kolkata	2013-05-03	Rajasthan Royals	Kolkata Knight Riders	Rajasthan Royals	bat	normal	0	Kolkata Knight Riders	0	8	YK Pathan	Eden Gardens	HDPK Dharmasena	CK Nandan		0	-2.49780070459	1.72042877458	-10	50.0	0.0
369	370	2013	Bangalore	2013-05-14	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	7	AC Gilchrist	M Chinnaswamy Stadium	HDPK Dharmasena	S Ravi		0	-7.76570080178	-2.56270197027	7	50.0	33.3333333333
370	371	2013	Mumbai	2013-05-05	Mumbai Indians	Chennai Super Kings	Mumbai Indians	bat	normal	0	Mumbai Indians	60	0	MG Johnson	Wankhede Stadium	HDPK Dharmasena	CK Nandan		1	2.15949724192	-1.25000317567	0	58.3333333333	0.0
373	374	2013	Jaipur	2013-05-07	Delhi Daredevils	Rajasthan Royals	Delhi Daredevils	bat	normal	0	Rajasthan Royals	0	9	AM Rahane	Sawai Mansingh Stadium	Aleem Dar	RJ Tucker		0	24.5671950055	-1.10687587789	3	54.5454545455	33.3333333333
374	375	2013	Mumbai	2013-05-07	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	bat	normal	0	Mumbai Indians	65	0	SR Tendulkar	Wankhede Stadium	HDPK Dharmasena	S Ravi		1	6.01093413546	0.593238976128	-3	81.8181818182	66.6666666667
376	377	2013	Chandigarh	2013-05-09	Kings XI Punjab	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	8	KK Cooper	Punjab Cricket Association Stadium, Mohali	HDPK Dharmasena	S Ravi		0	4.59841625548	-0.307514194634	-3	30.0	-33.3333333333
378	379	2013	Delhi	2013-05-10	Royal Challengers Bangalore	Delhi Daredevils	Delhi Daredevils	field	normal	0	Royal Challengers Bangalore	4	0	JD Unadkat	Feroz Shah Kotla	NJ Llong	K Srinath		1	-13.9692073182	0.574866593371	0	44.4444444444	-33.3333333333
381	382	2013	Ranchi	2013-05-12	Royal Challengers Bangalore	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kolkata Knight Riders	0	5	JH Kallis	JSCA International Stadium Complex	NJ Llong	K Srinath		0	-1.06273268173	-0.970672961699	-11	50.0	0.0
382	383	2013	Jaipur	2013-05-12	Chennai Super Kings	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	5	SR Watson	Sawai Mansingh Stadium	HDPK Dharmasena	CK Nandan		0	16.708627905	-0.13003848481	9	66.6666666667	0.0
383	384	2013	Delhi	2013-04-23	Delhi Daredevils	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	5	Harmeet Singh	Feroz Shah Kotla	VA Kulkarni	K Srinath		0	-4.15055713435	1.38158422125	11	44.4444444444	0.0
386	387	2013	Chennai	2013-05-14	Chennai Super Kings	Delhi Daredevils	Chennai Super Kings	bat	normal	0	Chennai Super Kings	33	0	MS Dhoni	MA Chidambaram Stadium, Chepauk	C Shamshuddin	RJ Tucker		1	12.6337060124	0.564110806846	11	63.6363636364	33.3333333333
387	388	2013	Mumbai	2013-05-15	Mumbai Indians	Rajasthan Royals	Rajasthan Royals	field	normal	0	Mumbai Indians	14	0	AP Tare	Wankhede Stadium	Asad Rauf	S Asnani		1	0.865030398587	0.77863055105	0	50.0	0.0
388	389	2013	Chandigarh	2013-05-06	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	6	DA Miller	Punjab Cricket Association Stadium, Mohali	VA Kulkarni	NJ Llong		0	-6.97657135237	1.36015252766	7	45.4545454545	-33.3333333333
390	391	2013	Dharamsala	2013-05-18	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	0	Kings XI Punjab	50	0	Azhar Mahmood	Himachal Pradesh Cricket Association Stadium	HDPK Dharmasena	CK Nandan		1	4.08884408695	2.84425611657	-4	54.5454545455	-33.3333333333
392	393	2013	Bangalore	2013-05-18	Royal Challengers Bangalore	Chennai Super Kings	Chennai Super Kings	field	normal	0	Royal Challengers Bangalore	24	0	V Kohli	M Chinnaswamy Stadium	C Shamshuddin	RJ Tucker		1	-3.5383406162	-0.00237260231255	-10	38.4615384615	0.0
394	395	2013	Delhi	2013-05-21	Chennai Super Kings	Mumbai Indians	Chennai Super Kings	bat	normal	0	Chennai Super Kings	48	0	MEK Hussey	Feroz Shah Kotla	NJ Llong	RJ Tucker		1	-0.81502699544	-0.362783431975	-2	38.4615384615	-33.3333333333
396	397	2013	Kolkata	2013-05-24	Rajasthan Royals	Mumbai Indians	Rajasthan Royals	bat	normal	0	Mumbai Indians	0	4	Harbhajan Singh	Eden Gardens	C Shamshuddin	SJA Taufel		0	-5.27666583208	-0.901617051747	-4	45.4545454545	33.3333333333
397	398	2013	Kolkata	2013-05-26	Mumbai Indians	Chennai Super Kings	Mumbai Indians	bat	normal	0	Mumbai Indians	23	0	KA Pollard	Eden Gardens	HDPK Dharmasena	SJA Taufel		1	2.90553503112	-0.370999916328	-7	57.1428571429	-33.3333333333
398	399	2014	Abu Dhabi	2014-04-16	Kolkata Knight Riders	Mumbai Indians	Kolkata Knight Riders	bat	normal	0	Kolkata Knight Riders	41	0	JH Kallis	Sheikh Zayed Stadium	M Erasmus	RK Illingworth		1	-9.64664649281	1.5536092248	6	16.6666666667	0.0
399	400	2014	Sharjah	2014-04-17	Delhi Daredevils	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	8	YS Chahal	Sharjah Cricket Stadium	Aleem Dar	S Ravi		0	4.96360533252	0.0733501723655	12	50.0	0.0
400	401	2014	Abu Dhabi	2014-04-18	Chennai Super Kings	Kings XI Punjab	Chennai Super Kings	bat	normal	0	Kings XI Punjab	0	6	GJ Maxwell	Sheikh Zayed Stadium	RK Illingworth	C Shamshuddin		0	7.07980984183	1.48739406845	11	70.0	0.0
402	403	2014		2014-04-19	Mumbai Indians	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	7	PA Patel	Dubai International Cricket Stadium	Aleem Dar	AK Chaudhary		0	21.4855988824	1.17641398159	17	53.8461538462	-100.0
403	404	2014		2014-04-19	Kolkata Knight Riders	Delhi Daredevils	Kolkata Knight Riders	bat	normal	0	Delhi Daredevils	0	4	JP Duminy	Dubai International Cricket Stadium	Aleem Dar	VA Kulkarni		0	-4.50333434632	1.6631688741	15	54.5454545455	100.0
404	405	2014	Sharjah	2014-04-20	Rajasthan Royals	Kings XI Punjab	Kings XI Punjab	field	normal	0	Kings XI Punjab	0	7	GJ Maxwell	Sharjah Cricket Stadium	BF Bowden	M Erasmus		0	-7.2976299856	-1.18735491518	-1	72.7272727273	-100.0
