,id,season,city,date,team1,team2
398,399,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians
399,400,2014,Sharjah,2014-04-17,Delhi Daredevils,Royal Challengers Bangalore
400,401,2014,Abu Dhabi,2014-04-18,Chennai Super Kings,Kings XI Punjab
402,403,2014,,2014-04-19,Mumbai Indians,Royal Challengers Bangalore
403,404,2014,,2014-04-19,Kolkata Knight Riders,Delhi Daredevils
404,405,2014,Sharjah,2014-04-20,Rajasthan Royals,Kings XI Punjab
405,406,2014,Abu Dhabi,2014-04-21,Chennai Super Kings,Delhi Daredevils
407,408,2014,,2014-04-23,Chennai Super Kings,Rajasthan Royals
408,409,2014,Sharjah,2014-04-24,Kolkata Knight Riders,Royal Challengers Bangalore
410,411,2014,,2014-04-25,Mumbai Indians,Chennai Super Kings
411,412,2014,Abu Dhabi,2014-04-26,Royal Challengers Bangalore,Rajasthan Royals
412,413,2014,Abu Dhabi,2014-04-26,Kings XI Punjab,Kolkata Knight Riders
413,414,2014,Sharjah,2014-04-27,Mumbai Indians,Delhi Daredevils
415,416,2014,,2014-04-28,Royal Challengers Bangalore,Kings XI Punjab
418,419,2014,Ranchi,2014-05-02,Chennai Super Kings,Kolkata Knight Riders
419,420,2014,Mumbai,2014-05-03,Kings XI Punjab,Mumbai Indians
420,421,2014,Delhi,2014-05-03,Delhi Daredevils,Rajasthan Royals
422,423,2014,Ahmedabad,2014-05-05,Rajasthan Royals,Kolkata Knight Riders
423,424,2014,Delhi,2014-05-05,Delhi Daredevils,Chennai Super Kings
424,425,2014,Mumbai,2014-05-06,Mumbai Indians,Royal Challengers Bangalore
425,426,2014,Delhi,2014-05-07,Delhi Daredevils,Kolkata Knight Riders
426,427,2014,Cuttack,2014-05-07,Kings XI Punjab,Chennai Super Kings
428,429,2014,Bangalore,2014-05-09,Kings XI Punjab,Royal Challengers Bangalore
430,431,2014,Mumbai,2014-05-10,Mumbai Indians,Chennai Super Kings
431,432,2014,Cuttack,2014-05-11,Kings XI Punjab,Kolkata Knight Riders
432,433,2014,Bangalore,2014-05-11,Royal Challengers Bangalore,Rajasthan Royals
434,435,2014,Ranchi,2014-05-13,Rajasthan Royals,Chennai Super Kings
435,436,2014,Bangalore,2014-05-13,Royal Challengers Bangalore,Delhi Daredevils
437,438,2014,Cuttack,2014-05-14,Mumbai Indians,Kolkata Knight Riders
438,439,2014,Ahmedabad,2014-05-15,Rajasthan Royals,Delhi Daredevils
439,440,2014,Ranchi,2014-05-18,Chennai Super Kings,Royal Challengers Bangalore
441,442,2014,Ahmedabad,2014-05-19,Mumbai Indians,Rajasthan Royals
442,443,2014,Delhi,2014-05-19,Delhi Daredevils,Kings XI Punjab
444,445,2014,Kolkata,2014-05-20,Chennai Super Kings,Kolkata Knight Riders
445,446,2014,Chandigarh,2014-05-21,Kings XI Punjab,Mumbai Indians
446,447,2014,Kolkata,2014-05-22,Kolkata Knight Riders,Royal Challengers Bangalore
448,449,2014,Mumbai,2014-05-23,Mumbai Indians,Delhi Daredevils
449,450,2014,Chandigarh,2014-05-23,Kings XI Punjab,Rajasthan Royals
450,451,2014,Bangalore,2014-05-24,Royal Challengers Bangalore,Chennai Super Kings
452,453,2014,Chandigarh,2014-05-25,Delhi Daredevils,Kings XI Punjab
453,454,2014,Mumbai,2014-05-25,Rajasthan Royals,Mumbai Indians
454,455,2014,Kolkata,2014-05-27,Kolkata Knight Riders,Kings XI Punjab
455,456,2014,Mumbai,2014-05-28,Mumbai Indians,Chennai Super Kings
456,457,2014,Mumbai,2014-05-30,Kings XI Punjab,Chennai Super Kings
457,458,2014,Bangalore,2014-06-01,Kings XI Punjab,Kolkata Knight Riders
458,459,2015,Kolkata,2015-04-08,Mumbai Indians,Kolkata Knight Riders
459,460,2015,Chennai,2015-04-09,Chennai Super Kings,Delhi Daredevils
460,461,2015,Pune,2015-04-10,Rajasthan Royals,Kings XI Punjab
462,463,2015,Kolkata,2015-04-11,Kolkata Knight Riders,Royal Challengers Bangalore
463,464,2015,Delhi,2015-04-12,Delhi Daredevils,Rajasthan Royals
464,465,2015,Mumbai,2015-04-12,Kings XI Punjab,Mumbai Indians
466,467,2015,Ahmedabad,2015-04-14,Mumbai Indians,Rajasthan Royals
467,468,2015,Kolkata,2015-04-30,Chennai Super Kings,Kolkata Knight Riders
468,469,2015,Pune,2015-04-15,Kings XI Punjab,Delhi Daredevils
470,471,2015,Mumbai,2015-04-17,Mumbai Indians,Chennai Super Kings
472,473,2015,Pune,2015-04-18,Kings XI Punjab,Kolkata Knight Riders
473,474,2015,Ahmedabad,2015-04-19,Chennai Super Kings,Rajasthan Royals
474,475,2015,Bangalore,2015-04-19,Mumbai Indians,Royal Challengers Bangalore
475,476,2015,Delhi,2015-04-20,Delhi Daredevils,Kolkata Knight Riders
478,479,2015,Bangalore,2015-04-22,Chennai Super Kings,Royal Challengers Bangalore
479,480,2015,Delhi,2015-04-23,Delhi Daredevils,Mumbai Indians
480,481,2015,Ahmedabad,2015-04-24,Rajasthan Royals,Royal Challengers Bangalore
482,483,2015,Chennai,2015-04-25,Chennai Super Kings,Kings XI Punjab
483,484,2015,Delhi,2015-04-26,Delhi Daredevils,Royal Challengers Bangalore
485,486,2015,Kolkata,2015-05-07,Kolkata Knight Riders,Delhi Daredevils
487,488,2015,Chennai,2015-04-28,Chennai Super Kings,Kolkata Knight Riders
488,489,2015,Delhi,2015-05-01,Kings XI Punjab,Delhi Daredevils
489,490,2015,Mumbai,2015-05-01,Mumbai Indians,Rajasthan Royals
490,491,2015,Bangalore,2015-05-02,Kolkata Knight Riders,Royal Challengers Bangalore
492,493,2015,Chandigarh,2015-05-03,Mumbai Indians,Kings XI Punjab
493,494,2015,Mumbai,2015-05-03,Rajasthan Royals,Delhi Daredevils
494,495,2015,Chennai,2015-05-04,Chennai Super Kings,Royal Challengers Bangalore
496,497,2015,Mumbai,2015-05-05,Delhi Daredevils,Mumbai Indians
497,498,2015,Bangalore,2015-05-06,Royal Challengers Bangalore,Kings XI Punjab
499,500,2015,Chennai,2015-05-08,Chennai Super Kings,Mumbai Indians
500,501,2015,Kolkata,2015-05-09,Kings XI Punjab,Kolkata Knight Riders
502,503,2015,Mumbai,2015-05-10,Royal Challengers Bangalore,Mumbai Indians
503,504,2015,Chennai,2015-05-10,Chennai Super Kings,Rajasthan Royals
505,506,2015,Raipur,2015-05-12,Chennai Super Kings,Delhi Daredevils
506,507,2015,Chandigarh,2015-05-13,Kings XI Punjab,Royal Challengers Bangalore
507,508,2015,Mumbai,2015-05-14,Mumbai Indians,Kolkata Knight Riders
509,510,2015,Chandigarh,2015-05-16,Kings XI Punjab,Chennai Super Kings
510,511,2015,Mumbai,2015-05-16,Rajasthan Royals,Kolkata Knight Riders
513,514,2015,Mumbai,2015-05-19,Mumbai Indians,Chennai Super Kings
514,515,2015,Pune,2015-05-20,Royal Challengers Bangalore,Rajasthan Royals
515,516,2015,Ranchi,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings
516,517,2015,Kolkata,2015-05-24,Mumbai Indians,Chennai Super Kings
